Zip code,Zip code name,County,Count by Zip code,Business carry,Residence premise,Guard carry,Business premise,Special carry,Limited carry,Estimated population
10312,"STATEN ISLAND, NY",RICHMOND,69,43,24,,,,,61392
10306,"STATEN ISLAND, NY",RICHMOND,57,34,22,1,,,,53877
10314,"STATEN ISLAND, NY",RICHMOND,50,34,15,1,,,,89792
11234,"BROOKLYN, NY",KINGS,46,24,17,2,1,1,1,93534
10309,"STATEN ISLAND, NY",RICHMOND,35,20,14,,,,1,34058
10307,"STATEN ISLAND, NY",RICHMOND,30,15,14,,1,,,14906
11414,"HOWARD BEACH, NY",QUEENS,29,11,16,,,,2,28313
11209,"BROOKLYN, NY",KINGS,29,13,15,1,,,,67782
10465,"BRONX, NY",BRONX,27,15,11,,,,1,43671
10308,"STATEN ISLAND, NY",RICHMOND,25,18,7,,,,,29512
10301,"STATEN ISLAND, NY",RICHMOND,24,16,5,1,2,,,38280
11434,"JAMAICA, NY",QUEENS,24,12,9,2,1,,,64304
11357,"WHITESTONE, NY",QUEENS,23,8,12,1,,,1,39407
11229,"BROOKLYN, NY",KINGS,22,9,11,1,,,1,83119
11385,"RIDGEWOOD, NY",QUEENS,22,4,18,,,,,107796
10475,"BRONX, NY",BRONX,21,10,7,3,1,,,42818
11233,"BROOKLYN, NY",KINGS,21,12,5,3,,,1,79439
11235,"BROOKLYN, NY",KINGS,21,3,16,,1,,,78775
10461,"BRONX, NY",BRONX,20,11,5,4,,,,49690
10473,"BRONX, NY",BRONX,19,12,2,4,,,1,59579
11379,"MIDDLE VILLAGE, NY",QUEENS,19,7,10,1,,,1,37991
10305,"STATEN ISLAND, NY",RICHMOND,19,8,11,,,,,42726
11228,"BROOKLYN, NY",KINGS,19,7,11,,1,,,44348
11236,"BROOKLYN, NY",KINGS,19,10,7,2,,,,100844
11214,"BROOKLYN, NY",KINGS,18,9,8,1,,,,92644
11413,"SPRINGFIELD GARDENS, NY",QUEENS,18,13,3,2,,,,41650
11223,"BROOKLYN, NY",KINGS,18,6,7,3,,,1,81388
11203,"BROOKLYN, NY",KINGS,17,6,7,4,,,,76085
10469,"BRONX, NY",BRONX,17,9,7,1,,,,72384
11208,"BROOKLYN, NY",KINGS,16,4,10,2,,,,101313
11420,"SOUTH OZONE PARK, NY",QUEENS,16,6,6,2,1,,1,47470
10304,"STATEN ISLAND, NY",RICHMOND,16,5,10,,,,1,41112
11221,"BROOKLYN, NY",KINGS,15,6,9,,,,,83322
11207,"BROOKLYN, NY",KINGS,14,5,7,2,,,,91083
11226,"BROOKLYN, NY",KINGS,14,5,3,5,,,1,99558
11377,"WOODSIDE, NY",QUEENS,14,7,4,2,,,,83825
10462,"BRONX, NY",BRONX,14,6,6,2,,,,75714
11412,"SAINT ALBANS, NY",QUEENS,13,9,4,,,,,37857
11694,"ROCKAWAY PARK, NY",QUEENS,13,4,8,1,,,,21202
10467,"BRONX, NY",BRONX,13,6,3,2,,,1,101255
11212,"BROOKLYN, NY",KINGS,13,8,2,3,,,,75605
11421,"WOODHAVEN, NY",QUEENS,13,6,6,1,,,,41251
10456,"BRONX, NY",BRONX,12,3,8,1,,,,92717
11378,"MASPETH, NY",QUEENS,11,10,1,,,,,38524
11423,"HOLLIS, NY",QUEENS,11,3,8,,,,,30104
11691,"FAR ROCKAWAY, NY",QUEENS,11,2,6,3,,,,68543
11369,"EAST ELMHURST, NY",QUEENS,11,5,3,3,,,,31481
11210,"BROOKLYN, NY",KINGS,11,3,8,,,,,64665
11418,"RICHMOND HILL, NY",QUEENS,11,4,6,,,,,38405
11422,"ROSEDALE, NY",QUEENS,11,6,5,,,,,32761
10029,"NEW YORK, NY",NEW YORK,10,5,5,,,,,76713
11364,"OAKLAND GARDENS, NY",QUEENS,10,3,7,,,,,36215
11213,"BROOKLYN, NY",KINGS,10,2,5,2,1,,,67056
11103,"ASTORIA, NY",QUEENS,10,2,7,1,,,,35995
11435,"JAMAICA, NY",QUEENS,10,3,5,2,,,,59605
11375,"FOREST HILLS, NY",QUEENS,10,3,7,,,,,73034
11427,"QUEENS VILLAGE, NY",QUEENS,10,6,2,,1,,1,24560
10310,"STATEN ISLAND, NY",RICHMOND,10,8,2,,,,,23800
10016,"NEW YORK, NY",NEW YORK,9,2,7,,,,,52886
10022,"NEW YORK, NY",NEW YORK,9,,9,,,,,31130
11238,"BROOKLYN, NY",KINGS,9,5,4,,,,,55210
11201,"BROOKLYN, NY",KINGS,9,3,5,1,,,,63378
11374,"REGO PARK, NY",QUEENS,9,2,6,1,,,,43507
11433,"JAMAICA, NY",QUEENS,9,6,2,,,,,37021
11216,"BROOKLYN, NY",KINGS,9,4,2,2,,,1,57786
11220,"BROOKLYN, NY",KINGS,9,4,4,1,,,,93170
11411,"CAMBRIA HEIGHTS, NY",QUEENS,8,4,2,2,,,,20719
10303,"STATEN ISLAND, NY",RICHMOND,8,6,1,1,,,,27401
10021,"NEW YORK, NY",NEW YORK,8,,5,,1,,,44280
11218,"BROOKLYN, NY",KINGS,8,5,3,,,,,72413
11206,"BROOKLYN, NY",KINGS,8,4,3,1,,,,88422
11231,"BROOKLYN, NY",KINGS,8,6,1,1,,,,37874
11358,"FLUSHING, NY",QUEENS,8,3,5,,,,,36515
10451,"BRONX, NY",BRONX,8,5,2,,,,1,48136
10466,"BRONX, NY",BRONX,8,3,3,2,,,,75039
11224,"BROOKLYN, NY",KINGS,8,4,3,1,,,,45795
11417,"OZONE PARK, NY",QUEENS,8,1,6,1,,,,31321
11365,"FRESH MEADOWS, NY",QUEENS,8,3,4,1,,,,44738
11366,"FRESH MEADOWS, NY",QUEENS,7,,6,,,,,14360
11204,"BROOKLYN, NY",KINGS,7,2,4,1,,,,76395
11362,"LITTLE NECK, NY",QUEENS,7,4,2,,1,,,18343
11415,"KEW GARDENS, NY",QUEENS,7,3,2,1,,,,18891
11105,"ASTORIA, NY",QUEENS,7,2,5,,,,,36983
11372,"JACKSON HEIGHTS, NY",QUEENS,7,2,3,2,,,,62854
11361,"BAYSIDE, NY",QUEENS,7,3,3,,1,,,27201
11354,"FLUSHING, NY",QUEENS,7,1,5,1,,,,53684
11225,"BROOKLYN, NY",KINGS,7,4,2,1,,,,56859
10468,"BRONX, NY",BRONX,7,5,2,,,,,78881
11367,"FLUSHING, NY",QUEENS,7,3,4,,,,,41207
11106,"ASTORIA, NY",QUEENS,7,4,3,,,,,37690
10025,"NEW YORK, NY",NEW YORK,7,2,3,2,,,,92251
10037,"NEW YORK, NY",NEW YORK,7,5,1,1,,,,20462
10001,"NEW YORK, NY",NEW YORK,7,3,4,,,,,24117
10002,"NEW YORK, NY",NEW YORK,7,5,2,,,,,74479
10027,"NEW YORK, NY",NEW YORK,7,4,2,1,,,,64988
10302,"STATEN ISLAND, NY",RICHMOND,7,6,1,,,,,18037
11211,"BROOKLYN, NY",KINGS,6,4,1,1,,,,103123
10458,"BRONX, NY",BRONX,6,2,3,1,,,,85620
11429,"QUEENS VILLAGE, NY",QUEENS,6,3,3,,,,,27454
10463,"BRONX, NY",BRONX,6,1,4,1,,,,71132
10470,"BRONX, NY",BRONX,6,5,1,,,,,15716
10014,"NEW YORK, NY",NEW YORK,6,1,4,,1,,,30344
10472,"BRONX, NY",BRONX,6,2,2,,,,1,67948
10019,"NEW YORK, NY",NEW YORK,6,,5,,,,,45498
11355,"FLUSHING, NY",QUEENS,6,2,4,,,,,80987
10471,"BRONX, NY",BRONX,6,3,1,1,,,1,22422
11697,"BREEZY POINT, NY",QUEENS,6,5,1,,,,,3674
11219,"BROOKLYN, NY",KINGS,6,,4,,1,,1,89371
11692,"ARVERNE, NY",QUEENS,6,3,2,1,,,,22074
10459,"BRONX, NY",BRONX,6,4,1,1,,,,48780
10033,"NEW YORK, NY",NEW YORK,6,1,3,1,,,1,58349
11436,"JAMAICA, NY",QUEENS,6,2,2,2,,,,19167
10023,"NEW YORK, NY",NEW YORK,5,1,4,,,,,62541
11360,"BAYSIDE, NY",QUEENS,5,5,,,,,,18954
11230,"BROOKLYN, NY",KINGS,5,1,3,1,,,,86139
10024,"NEW YORK, NY",NEW YORK,5,,4,1,,,,58102
10030,"NEW YORK, NY",NEW YORK,5,3,1,,,,,31060
10464,"BRONX, NY",BRONX,5,5,,,,,,4531
10028,"NEW YORK, NY",NEW YORK,5,1,3,,,,1,46768
10011,"NEW YORK, NY",NEW YORK,5,,3,2,,,,49949
10003,"NEW YORK, NY",NEW YORK,5,,5,,,,,53977
11356,"COLLEGE POINT, NY",QUEENS,5,2,1,1,1,,,23494
10009,"NEW YORK, NY",NEW YORK,5,4,1,,,,,58293
11368,"CORONA, NY",QUEENS,5,5,,,,,,112088
10452,"BRONX, NY",BRONX,5,3,1,1,,,,75452
11693,"FAR ROCKAWAY, NY",QUEENS,4,3,1,,,,,12944
11416,"OZONE PARK, NY",QUEENS,4,1,1,2,,,,26744
11222,"BROOKLYN, NY",KINGS,4,3,1,,,,,36872
10075,"NEW YORK, NY",NEW YORK,4,1,3,,,,,22252
11370,"EAST ELMHURST, NY",QUEENS,4,,3,1,,,,31580
10455,"BRONX, NY",BRONX,4,1,2,1,,,,41951
10453,"BRONX, NY",BRONX,4,1,3,,,,,81716
10457,"BRONX, NY",BRONX,4,1,1,2,,,,74822
10010,"NEW YORK, NY",NEW YORK,4,3,1,,,,,35906
11004,"GLEN OAKS, NY",QUEENS,4,1,3,,,,,15098
10013,"NEW YORK, NY",NEW YORK,4,,4,,,,,28799
11575,"ROOSEVELT, NY",NASSAU,4,,,,,4,,17180
11432,"JAMAICA, NY",QUEENS,4,1,3,,,,,64299
11426,"BELLEROSE, NY",QUEENS,3,2,,1,,,,20524
10040,"NEW YORK, NY",NEW YORK,3,2,1,,,,,44800
10031,"NEW YORK, NY",NEW YORK,3,2,1,,,,,59586
10704,"YONKERS, NY",WESTCHESTER,3,,,3,,,,31683
10454,"BRONX, NY",BRONX,3,2,,1,,,,37212
11239,"BROOKLYN, NY",KINGS,3,,3,,,,,12772
11373,"ELMHURST, NY",QUEENS,3,,3,,,,,94437
11205,"BROOKLYN, NY",KINGS,3,1,2,,,,,46843
11428,"QUEENS VILLAGE, NY",QUEENS,3,1,1,1,,,,18836
10128,"NEW YORK, NY",NEW YORK,3,1,1,,1,,,58636
10065,"NEW YORK, NY",NEW YORK,2,1,1,,,,,29530
11215,"BROOKLYN, NY",KINGS,2,1,1,,,,,69873
10280,"NEW YORK, NY",NEW YORK,2,,2,,,,,9496
10705,"YONKERS, NY",WESTCHESTER,2,,,2,,,,39944
10038,"NEW YORK, NY",NEW YORK,2,,1,,1,,,23311
11102,"ASTORIA, NY",QUEENS,2,,2,,,,,29747
10506,"BEDFORD, NY",WESTCHESTER,2,,,,,2,,5699
10012,"NEW YORK, NY",NEW YORK,2,,2,,,,,23318
11003,"ELMONT, NY",NASSAU,2,,,1,,1,,44572
11554,"EAST MEADOW, NY",NASSAU,2,,,2,,,,38029
11520,"FREEPORT, NY",NASSAU,2,,,,,2,,43438
11101,"LONG ISLAND CITY, NY",QUEENS,2,1,,,1,,,31366
10007,"NEW YORK, NY",NEW YORK,2,,2,,,,,7408
10036,"NEW YORK, NY",NEW YORK,2,1,1,,,,,28487
10710,"YONKERS, NY",WESTCHESTER,2,1,,,,1,,25262
11237,"BROOKLYN, NY",KINGS,2,,1,,1,,,48876
10032,"NEW YORK, NY",NEW YORK,2,2,,,,,,63214
11501,"MINEOLA, NY",NASSAU,2,1,,1,,,,19621
10034,"NEW YORK, NY",NEW YORK,2,2,,,,,,42399
11232,"BROOKLYN, NY",KINGS,2,1,1,,,,,26430
11001,"FLORAL PARK, NY",NASSAU,2,1,,,1,,,28021
10005,"NEW YORK, NY",NEW YORK,1,,1,,,,,8701
11559,"LAWRENCE, NY",NASSAU,1,1,,,,,,8192
10990,"WARWICK, NY",ORANGE,1,,,1,,,,20307
12452,"LEXINGTON, NY",GREENE,1,,,1,,,,275
10460,"BRONX, NY",BRONX,1,1,,,,,,59432
12590,"WAPPINGERS FALLS, NY",DUTCHESS,1,,,1,,,,34910
11793,"WANTAGH, NY",NASSAU,1,,,1,,,,30643
11096,"INWOOD, NY",NASSAU,1,,,1,,,,8362
11507,"ALBERTSON, NY",NASSAU,1,,,,,,1,7225
11363,"LITTLE NECK, NY",QUEENS,1,,1,,,,,7096
11552,"WEST HEMPSTEAD, NY",NASSAU,1,,,1,,,,24908
11560,"LOCUST VALLEY, NY",NASSAU,1,,,,,,1,6669
11550,"HEMPSTEAD, NY",NASSAU,1,,,1,,,,57639
11563,"LYNBROOK, NY",NASSAU,1,,,1,,,,21919
11795,"WEST ISLIP, NY",SUFFOLK,1,,,,,1,,24775
11030,"MANHASSET, NY",NASSAU,1,,,,1,,,18578
11510,"BALDWIN, NY",NASSAU,1,,,,,1,,33299
11702,"BABYLON, NY",SUFFOLK,1,,,1,,,,14127
10701,"YONKERS, NY",WESTCHESTER,1,,,1,,,,61604
11566,"MERRICK, NY",NASSAU,1,,,,1,,,33331
14507,"MIDDLESEX, NY",YATES,1,,,,,1,,1157
11040,"NEW HYDE PARK, NY",NASSAU,1,,1,,,,,41592
11717,"BRENTWOOD, NY",SUFFOLK,1,,,,,1,,63492
11005,"FLORAL PARK, NY",QUEENS,1,1,,,,,,1759
12553,"NEW WINDSOR, NY",ORANGE,1,,,1,,,,26674
10039,"NEW YORK, NY",NEW YORK,1,,,1,,,,27854
11516,"CEDARHURST, NY",NASSAU,1,,,,,,1,7372
10069,"NEW YORK, NY",NEW YORK,1,,1,,,,,6051
11720,"CENTEREACH, NY",SUFFOLK,1,,,,,1,,28454
11725,"COMMACK, NY",SUFFOLK,1,,,,,1,,29396
10920,"CONGERS, NY",ROCKLAND,1,,,,1,,,9075
11217,"BROOKLYN, NY",KINGS,1,,1,,,,,41813
10282,"NEW YORK, NY",NEW YORK,1,,1,,,,,5783
11703,"NORTH BABYLON, NY",SUFFOLK,1,,,1,,,,16119
10523,"ELMSFORD, NY",WESTCHESTER,1,,,1,,,,9133
10026,"NEW YORK, NY",NEW YORK,1,,1,,,,,38585
11104,"SUNNYSIDE, NY",QUEENS,1,1,,,,,,25114
12603,"POUGHKEEPSIE, NY",DUTCHESS,1,,,1,,,,42540
12589,"WALLKILL, NY",ULSTER,1,,,1,,,,16882
11961,"RIDGE, NY",SUFFOLK,1,1,,,,,,12902
11010,"FRANKLIN SQUARE, NY",NASSAU,1,,,,,1,,24752
11778,"ROCKY POINT, NY",SUFFOLK,1,,,,,1,,12081
11967,"SHIRLEY, NY",SUFFOLK,1,,,1,,,,27854
11419,"SOUTH RICHMOND HILL, NY",QUEENS,1,,1,,,,,48369
10977,"SPRING VALLEY, NY",ROCKLAND,1,,,1,,,,66138
11023,"GREAT NECK, NY",NASSAU,1,,,,1,,,9301
10706,"HASTINGS ON HUDSON, NY",WESTCHESTER,1,,,1,,,,8493
11557,"HEWLETT, NY",NASSAU,1,,,,1,,,7878
10035,"NEW YORK, NY",NEW YORK,1,,1,,,,,36048
11580,"VALLEY STREAM, NY",NASSAU,1,,,,,1,,42990
11581,"VALLEY STREAM, NY",NASSAU,1,,,1,,,,21794
11050,"PORT WASHINGTON, NY",NASSAU,1,,,,1,,,30357
